Bandit,Reward,Algorithm
0,1,EpsilonGreedy
1,1,EpsilonGreedy
2,1,EpsilonGreedy
3,1,EpsilonGreedy
4,1,EpsilonGreedy
5,1,EpsilonGreedy
6,1,EpsilonGreedy
7,1,EpsilonGreedy
8,1,EpsilonGreedy
9,1,EpsilonGreedy
10,1,EpsilonGreedy
11,1,EpsilonGreedy
12,1,EpsilonGreedy
13,1,EpsilonGreedy
14,1,EpsilonGreedy
15,1,EpsilonGreedy
16,1,EpsilonGreedy
17,1,EpsilonGreedy
18,1,EpsilonGreedy
19,1,EpsilonGreedy
20,1,EpsilonGreedy
21,1,EpsilonGreedy
22,1,EpsilonGreedy
23,1,EpsilonGreedy
24,1,EpsilonGreedy
25,1,EpsilonGreedy
26,1,EpsilonGreedy
27,1,EpsilonGreedy
28,1,EpsilonGreedy
29,1,EpsilonGreedy
30,1,EpsilonGreedy
31,1,EpsilonGreedy
32,1,EpsilonGreedy
33,1,EpsilonGreedy
34,1,EpsilonGreedy
35,1,EpsilonGreedy
36,1,EpsilonGreedy
37,1,EpsilonGreedy
38,3,EpsilonGreedy
39,3,EpsilonGreedy
40,3,EpsilonGreedy
41,3,EpsilonGreedy
42,3,EpsilonGreedy
43,3,EpsilonGreedy
44,3,EpsilonGreedy
45,3,EpsilonGreedy
46,3,EpsilonGreedy
47,3,EpsilonGreedy
48,3,EpsilonGreedy
49,3,EpsilonGreedy
50,3,EpsilonGreedy
51,3,EpsilonGreedy
52,3,EpsilonGreedy
53,3,EpsilonGreedy
54,3,EpsilonGreedy
55,3,EpsilonGreedy
56,3,EpsilonGreedy
57,3,EpsilonGreedy
58,3,EpsilonGreedy
59,3,EpsilonGreedy
60,3,EpsilonGreedy
61,3,EpsilonGreedy
62,3,EpsilonGreedy
63,3,EpsilonGreedy
64,3,EpsilonGreedy
65,3,EpsilonGreedy
66,3,EpsilonGreedy
67,3,EpsilonGreedy
68,3,EpsilonGreedy
69,3,EpsilonGreedy
70,3,EpsilonGreedy
71,3,EpsilonGreedy
72,3,EpsilonGreedy
73,3,EpsilonGreedy
74,3,EpsilonGreedy
75,3,EpsilonGreedy
76,3,EpsilonGreedy
77,3,EpsilonGreedy
78,3,EpsilonGreedy
79,3,EpsilonGreedy
80,3,EpsilonGreedy
81,3,EpsilonGreedy
82,3,EpsilonGreedy
83,3,EpsilonGreedy
84,3,EpsilonGreedy
85,3,EpsilonGreedy
86,3,EpsilonGreedy
87,3,EpsilonGreedy
88,3,EpsilonGreedy
89,3,EpsilonGreedy
90,3,EpsilonGreedy
91,3,EpsilonGreedy
92,3,EpsilonGreedy
93,3,EpsilonGreedy
94,3,EpsilonGreedy
95,3,EpsilonGreedy
96,3,EpsilonGreedy
97,3,EpsilonGreedy
98,3,EpsilonGreedy
99,3,EpsilonGreedy
100,3,EpsilonGreedy
101,3,EpsilonGreedy
102,3,EpsilonGreedy
103,3,EpsilonGreedy
104,3,EpsilonGreedy
105,3,EpsilonGreedy
106,3,EpsilonGreedy
107,3,EpsilonGreedy
108,3,EpsilonGreedy
109,3,EpsilonGreedy
110,3,EpsilonGreedy
111,3,EpsilonGreedy
112,3,EpsilonGreedy
113,3,EpsilonGreedy
114,3,EpsilonGreedy
115,3,EpsilonGreedy
116,3,EpsilonGreedy
117,3,EpsilonGreedy
118,3,EpsilonGreedy
119,3,EpsilonGreedy
120,3,EpsilonGreedy
121,3,EpsilonGreedy
122,3,EpsilonGreedy
123,3,EpsilonGreedy
124,3,EpsilonGreedy
125,3,EpsilonGreedy
126,3,EpsilonGreedy
